"account_length","international_plan","voice_mail_plan","number_vmail_messages","total_day_minutes","total_day_calls","total_night_minutes","total_night_calls","total_intl_minutes","total_intl_calls","total_intl_charge","number_customer_service_calls","churn"
165,"no","no",0,209.4,67,150.2,88,12.8,1,3.46,0,"no"
103,"no","no",0,180.2,134,181.7,134,8.4,3,2.27,1,"no"
90,"no","yes",27,156.7,51,123.2,111,12.6,6,3.4,2,"no"
36,"no","no",0,177.9,129,306.3,102,10.8,6,2.92,2,"no"
95,"no","yes",35,229.1,143,248.4,110,3.9,3,1.05,0,"no"
119,"no","no",0,231.5,82,211,118,7.4,10,2,1,"no"
59,"no","no",0,151.8,98,266.9,86,11.9,5,3.21,1,"no"
115,"no","no",0,254.8,97,217.6,117,9,4,2.43,1,"no"
77,"yes","yes",34,209.9,79,101.8,103,11.4,2,3.08,2,"yes"
136,"no","no",0,101.7,105,136.2,119,9.4,6,2.54,3,"no"
146,"no","no",0,138.4,104,47.4,73,3.9,9,1.05,4,"yes"
144,"no","yes",33,251.6,87,209.2,97,12.2,3,3.29,2,"no"
94,"no","no",0,174,85,207.8,94,7.9,1,2.13,1,"no"
74,"no","no",0,262.3,114,165.9,90,6.6,5,1.78,3,"no"
71,"no","no",0,212.1,114,207.7,135,11.3,5,3.05,4,"no"
88,"no","no",0,85.7,112,190.6,75,11.6,3,3.13,4,"yes"
104,"no","no",0,170.6,97,210.7,131,6.1,1,1.65,1,"no"
123,"no","no",0,236.2,135,227,77,10.1,6,2.73,2,"yes"
71,"no","yes",49,174,122,132.1,120,7.8,4,2.11,1,"no"
91,"no","yes",39,169.8,105,144.4,92,10.9,4,2.94,1,"no"
120,"no","no",0,252,120,151.8,96,9.6,1,2.59,2,"no"
97,"no","yes",32,168.4,129,191.8,95,8.5,7,2.3,0,"no"
114,"no","yes",31,222.8,98,151.3,101,13,4,3.51,0,"no"
87,"no","yes",30,262.8,114,154.8,88,7.8,2,2.11,0,"no"
111,"no","no",0,222.2,96,184.9,120,11.9,7,3.21,4,"no"
64,"no","yes",19,291.1,150,219.1,67,7.5,2,2.03,1,"no"
45,"no","yes",38,196.8,92,261.8,85,7.7,2,2.08,1,"no"
59,"no","no",0,119,119,298.6,75,9,6,2.43,2,"yes"
88,"no","no",0,177.8,112,221.8,71,7.9,4,2.13,1,"no"
75,"no","yes",17,200.7,107,204,136,12.9,3,3.48,4,"no"
53,"no","yes",24,145.7,146,249.9,96,13.1,5,3.54,3,"no"
117,"no","no",0,143.3,103,185.2,96,11.5,3,3.11,1,"no"
70,"no","no",0,148.4,110,151.5,101,8.9,4,2.4,0,"no"
