ID,INCOME,HRS,WRKGOVT,CUREMPYR
1,,,2,
2,82500,40,2,3
3,45000,35,2,10
4,16250,,1,
5,32500,43,2,3
6,,,2,
7,,40,2,
8,,30,2,2
9,,40,2,10
10,,,2,
11,45000,45,1,5
12,120000,40,2,1
13,,,1,
14,,,1,
15,,,2,
16,,,,
17,37500,55,2,5
18,,,2,
19,200000,20,,7
20,27500,40,1,
21,,,2,
22,32500,35,,3
23,,,1,
24,,,2,
25,,,,
26,,,2,
27,37500,40,1,6
28,200000,50,2,3
29,55000,80,2,11
30,82500,3,2,10
31,,,2,
32,,40,2,3
33,,40,2,10
34,21250,38,2,
35,,,,
36,82500,50,2,5
37,,40,2,2
38,,22,2,
39,,,2,
40,,,2,
41,,,2,
42,,,2,
43,,40,2,21
44,,40,2,5
45,,,1,
46,120000,45,2,5
47,100000,60,1,
48,23750,32,2,6
49,27500,,,
50,,50,2,10
51,45000,32,2,2
52,200000,30,,
53,,,2,
54,3500,16,2,
55,37500,40,2,8
56,27500,46,2,
57,120000,30,2,2
58,23750,,2,
59,,,2,
60,27500,55,1,1
61,100000,1,1,
62,140000,,1,
63,,60,2,1
64,23750,40,2,15
65,,,1,
66,,40,2,1
67,9000,72,2,2
68,,,2,
69,67500,,1,
70,67500,25,2,
71,16250,,2,
72,18750,40,2,1
73,,,2,
74,45000,40,2,15
75,,,2,
76,,,1,
77,,,2,
78,67500,43,2,9
79,45000,45,2,4
80,,40,2,
81,,40,2,24
82,,,,
83,45000,40,1,1
84,500,,2,
85,11250,40,2,4
86,,,2,
87,,,2,
88,,40,1,1
89,67500,24,1,13
90,200000,60,2,12
91,37500,40,2,7
92,,,2,
93,32500,20,2,4
94,200000,30,2,2
95,120000,65,2,1
96,,,,
97,67500,45,2,9
98,11250,,2,
99,,85,,
100,45000,40,2,26
101,67500,40,1,
102,,,2,
103,67500,,1,
104,6500,,2,
105,,,1,
106,,,2,
107,13750,40,2,
108,67500,37,1,15
109,67500,65,2,
110,120000,50,2,1
111,5500,40,2,1
112,,,1,
113,37500,24,2,
114,,,2,
115,82500,40,1,36
116,55000,48,2,1
117,,30,2,
118,,,2,
119,,30,2,
120,200000,50,2,22
121,,40,2,1
122,67500,30,1,18
123,82500,45,2,4
124,100000,65,2,4
125,13750,40,2,1
126,23750,60,2,
127,18750,40,2,
128,,,2,
129,82500,40,1,22
130,21250,45,2,
131,,,,
132,23750,35,2,
133,67500,45,2,10
134,,,2,
135,82500,50,2,5
136,100000,42,2,22
137,100000,50,2,12
138,,,2,
139,67500,65,2,3
140,,,2,
141,45000,38,2,7
142,3500,10,2,
143,3500,4,2,
144,,,2,
145,55000,40,2,2
146,82500,40,2,6
147,,,2,
148,55000,60,2,2
149,,,2,
150,27500,40,2,
