age,marital,education,default,housing,loan,contact,duration,campaign,previous,poutcome,subscription
30,married,primary,no,no,no,cellular,79,1,0,unknown,0
33,married,secondary,no,yes,yes,cellular,220,1,4,failure,0
35,single,tertiary,no,yes,no,cellular,185,1,1,failure,0
30,married,tertiary,no,yes,yes,unknown,199,4,0,unknown,0
59,married,secondary,no,yes,no,unknown,226,1,0,unknown,0
35,single,tertiary,no,no,no,cellular,141,2,3,failure,0
36,married,tertiary,no,yes,no,cellular,341,1,2,other,0
39,married,secondary,no,yes,no,cellular,151,2,0,unknown,0
41,married,tertiary,no,yes,no,unknown,57,2,0,unknown,0
43,married,primary,no,yes,yes,cellular,313,1,2,failure,0
39,married,secondary,no,yes,no,unknown,273,1,0,unknown,0
43,married,secondary,no,yes,no,cellular,113,2,0,unknown,0
36,married,tertiary,no,no,no,cellular,328,2,0,unknown,0
20,single,secondary,no,no,no,cellular,261,1,0,unknown,1
31,married,secondary,no,yes,yes,cellular,89,1,1,failure,0
40,married,tertiary,no,no,yes,cellular,189,2,0,unknown,0
56,married,secondary,no,no,no,cellular,239,5,0,unknown,0
37,single,tertiary,no,yes,no,cellular,114,1,2,failure,0
25,single,primary,no,yes,no,unknown,250,1,0,unknown,0
31,married,secondary,no,no,no,cellular,148,1,1,other,0
38,divorced,unknown,no,yes,no,cellular,96,2,0,unknown,0
42,divorced,tertiary,no,no,no,cellular,140,3,0,unknown,0
44,single,secondary,no,no,no,unknown,109,2,0,unknown,0
44,married,secondary,no,no,no,cellular,125,2,0,unknown,0
26,married,tertiary,no,no,no,cellular,169,3,0,unknown,0
41,married,tertiary,no,no,no,cellular,182,2,0,unknown,0
55,married,primary,no,yes,no,unknown,247,1,0,unknown,0
67,married,unknown,no,no,no,telephone,119,1,2,failure,0
56,married,secondary,no,no,yes,cellular,149,2,0,unknown,0
53,married,secondary,no,no,yes,cellular,74,2,0,unknown,0
68,divorced,secondary,no,no,no,telephone,897,2,0,unknown,1
31,married,secondary,no,no,no,cellular,81,3,0,unknown,0
59,married,secondary,no,no,no,cellular,40,1,0,unknown,0
32,single,tertiary,no,yes,no,cellular,958,6,0,unknown,1
49,married,tertiary,no,no,no,cellular,354,3,0,unknown,1
42,divorced,secondary,no,yes,no,unknown,150,1,0,unknown,0
78,divorced,primary,no,no,no,telephone,97,1,0,unknown,1
32,married,secondary,no,yes,no,cellular,132,1,0,unknown,1
33,married,secondary,no,yes,no,cellular,765,1,2,failure,1
23,single,tertiary,no,yes,no,unknown,16,18,0,unknown,0
38,single,tertiary,no,yes,no,unknown,609,2,3,failure,0
36,single,tertiary,no,no,no,cellular,106,2,0,unknown,0
52,married,secondary,no,yes,no,cellular,365,1,0,unknown,0
32,married,tertiary,no,yes,no,cellular,205,3,0,unknown,0
32,single,tertiary,no,yes,no,cellular,11,4,0,unknown,0
34,single,tertiary,no,yes,no,unknown,105,2,0,unknown,0
55,married,primary,no,no,no,telephone,59,3,2,other,0
